"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
620.00,"OH","PSA Airlines Inc.",14986,"SRQ","Sarasota/Bradenton, FL",14100,"PHL","Philadelphia, PA","631",12,
620.00,"WN","Southwest Airlines Co.",11697,"FLL","Fort Lauderdale, FL",11292,"DEN","Denver, CO","612",12,
621.00,"YX","Republic Airline",11057,"CLT","Charlotte, NC",13871,"OMA","Omaha, NE","673",12,
621.00,"YX","Republic Airline",13930,"ORD","Chicago, IL",13851,"OKC","Oklahoma City, OK","673",12,
621.00,"G4","Allegiant Air",13983,"OWB","Owensboro, KY",14761,"SFB","Sanford, FL","698",12,
621.00,"G4","Allegiant Air",15380,"TVC","Traverse City, MI",10466,"AZA","Phoenix, AZ","694",12,
621.00,"UA","United Air Lines Inc.",14492,"RDU","Raleigh/Durham, NC",13930,"ORD","Chicago, IL","694",12,
621.00,"UA","United Air Lines Inc.",14771,"SFO","San Francisco, CA",13303,"MIA","Miami, FL","614",12,
621.00,"F9","Frontier Airlines Inc.",14730,"SDF","Louisville, KY",13204,"MCO","Orlando, FL","694",12,
622.00,"MQ","Envoy Air",13930,"ORD","Chicago, IL",14492,"RDU","Raleigh/Durham, NC","673",12,
622.00,"YV","Mesa Airlines Inc.",11193,"CVG","Cincinnati, OH",12266,"IAH","Houston, TX","631",12,
622.00,"YV","Mesa Airlines Inc.",12266,"IAH","Houston, TX",11042,"CLE","Cleveland, OH","631",12,
622.00,"OH","PSA Airlines Inc.",10980,"CHA","Chattanooga, TN",14100,"PHL","Philadelphia, PA","629",12,
622.00,"ZW","Air Wisconsin Airlines Corp",14321,"PWM","Portland, ME",13930,"ORD","Chicago, IL","629",12,
622.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",10721,"BOS","Boston, MA","694",12,
623.00,"G4","Allegiant Air",14761,"SFB","Sanford, FL",14574,"ROA","Roanoke, VA","698",12,
623.00,"F9","Frontier Airlines Inc.",10397,"ATL","Atlanta, GA",15304,"TPA","Tampa, FL","694",12,
623.00,"WN","Southwest Airlines Co.",13871,"OMA","Omaha, NE",10693,"BNA","Nashville, TN","612",12,
623.00,"F9","Frontier Airlines Inc.",11637,"FAR","Fargo, ND",14107,"PHX","Phoenix, AZ","694",12,
